"price","speed","hd","ram","screen","cd","multi","premium","ads","trend"
1499,25,80,4,14,"no","no","yes",94,1
1795,33,85,2,14,"no","no","yes",94,1
1595,25,170,4,15,"no","no","yes",94,1
1849,25,170,8,14,"no","no","no",94,1
3295,33,340,16,14,"no","no","yes",94,1
3695,66,340,16,14,"no","no","yes",94,1
1720,25,170,4,14,"yes","no","yes",94,1
1995,50,85,2,14,"no","no","yes",94,1
2225,50,210,8,14,"no","no","yes",94,1
2575,50,210,4,15,"no","no","yes",94,1
2195,33,170,8,15,"no","no","yes",94,1
2605,66,210,8,14,"no","no","yes",94,1
2045,50,130,4,14,"no","no","yes",94,1
2295,25,245,8,14,"no","no","yes",94,1
2699,50,212,8,14,"no","no","yes",94,1
2225,50,130,4,14,"no","no","yes",94,1
1595,33,85,2,14,"no","no","yes",94,1
2325,33,210,4,15,"no","no","yes",94,1
2095,33,250,4,15,"no","no","yes",94,1
4395,66,452,8,14,"no","no","yes",94,1
1695,33,130,4,14,"no","no","yes",94,1
2795,66,130,4,14,"no","no","yes",94,1
2895,25,340,16,14,"no","no","yes",94,1
2875,50,210,4,17,"no","no","yes",94,1
4195,50,452,8,14,"no","no","yes",94,1
1290,33,80,2,14,"no","no","yes",94,1
1975,33,130,4,14,"no","no","yes",94,1
3995,33,452,8,14,"no","no","yes",94,1
3095,33,340,16,14,"no","no","yes",94,1
3244,66,245,8,14,"no","no","yes",94,1
1920,33,170,4,14,"yes","no","yes",94,1
1995,25,130,4,14,"no","no","yes",94,1
2595,33,210,8,17,"no","no","yes",94,1
2475,50,210,4,15,"no","no","yes",94,1
1999,33,170,4,14,"no","no","yes",94,1
2675,66,210,4,15,"no","no","yes",94,1
2325,66,210,8,14,"no","no","yes",94,1
3795,66,500,8,14,"no","no","yes",94,1
2405,50,210,8,14,"no","no","yes",94,1
2425,50,210,8,14,"no","no","yes",94,1
2895,50,245,8,14,"no","no","yes",94,1
3895,66,500,8,15,"no","no","yes",94,1
2499,33,212,8,14,"no","no","yes",94,1
2255,33,210,8,14,"no","no","yes",94,1
3495,50,340,16,14,"no","no","yes",94,1
2695,33,245,8,14,"no","no","yes",94,1
2195,33,130,4,14,"no","no","yes",94,1
1749,25,120,4,14,"no","no","yes",94,1
2399,50,212,4,14,"no","no","yes",94,1
1995,33,250,4,14,"no","no","yes",94,1
2499,33,170,4,14,"no","no","yes",94,1
2395,33,130,4,14,"no","no","yes",94,1
2995,66,340,8,15,"no","no","yes",94,1
2190,33,210,4,14,"no","no","yes",94,1
2199,33,212,8,14,"no","no","no",94,1
2125,50,130,4,14,"no","no","yes",94,1
2045,66,130,4,14,"no","no","yes",94,1
3075,66,210,4,17,"no","no","yes",94,1
2945,66,210,8,17,"no","no","yes",94,1
1945,50,130,4,14,"no","no","yes",94,1
3990,66,330,8,15,"no","no","yes",94,1
1795,33,170,4,15,"no","no","yes",94,1
2495,33,250,8,15,"no","no","yes",94,1
2220,33,250,4,14,"yes","no","yes",94,1
2195,66,85,2,14,"no","no","yes",94,1
1495,25,170,4,14,"no","no","yes",94,1
2325,66,130,4,14,"no","no","yes",94,1
1499,25,120,4,14,"no","no","yes",94,1
2199,33,212,4,14,"no","no","yes",94,1
3095,66,245,8,14,"no","no","yes",94,1
4020,66,500,8,14,"yes","no","yes",94,1
2725,33,210,4,17,"no","no","yes",94,1
1695,33,170,4,14,"no","no","yes",94,1
3044,50,245,8,14,"no","no","yes",94,1
2999,50,170,4,14,"no","no","yes",94,1
2844,33,245,8,14,"no","no","yes",94,1
1975,33,210,8,14,"no","no","yes",94,1
3220,66,340,8,15,"yes","no","yes",94,1
2595,50,130,4,14,"no","no","yes",94,1
1629,25,80,8,14,"no","no","no",94,1
3399,66,230,4,15,"no","no","yes",94,1
2495,33,245,8,14,"no","no","yes",94,1
2990,66,210,8,15,"no","no","yes",94,1
2720,33,250,8,15,"yes","no","yes",94,1
2595,25,245,8,14,"no","no","yes",94,1
1999,33,120,8,14,"no","no","no",94,1
2075,33,210,8,14,"no","no","yes",94,1
1795,33,130,4,14,"no","no","yes",94,1
1395,25,85,2,14,"no","no","yes",94,1
3490,50,330,8,14,"no","no","yes",94,1
2975,50,210,4,17,"no","no","yes",94,1
2145,66,130,4,14,"no","no","yes",94,1
2420,33,170,8,15,"yes","no","yes",94,1
2505,50,210,8,14,"no","no","yes",94,1
2995,66,340,16,14,"no","no","yes",95,2
1495,25,170,4,14,"no","no","yes",95,2
1999,33,170,4,14,"no","no","yes",95,2
1920,33,170,4,14,"yes","no","yes",95,2
2595,25,340,16,14,"no","no","yes",95,2
1695,33,170,4,14,"no","no","yes",95,2
1995,33,250,4,14,"no","no","yes",95,2
2195,25,245,8,14,"no","no","yes",95,2
1795,66,85,2,14,"no","no","yes",95,2
2999,66,330,4,15,"no","no","yes",95,2
1395,25,85,2,14,"no","no","yes",95,2
2995,66,250,8,17,"no","no","yes",95,2
2699,50,212,8,14,"no","no","yes",95,2
1720,25,170,4,14,"yes","no","yes",95,2
2045,66,170,4,14,"no","no","yes",95,2
2145,66,170,4,14,"no","no","yes",95,2
2995,66,340,8,15,"no","no","yes",95,2
2095,33,130,4,14,"no","no","yes",95,2
3895,50,452,8,14,"no","no","yes",95,2
2895,50,340,16,14,"no","no","yes",95,2
1499,25,170,4,14,"no","no","yes",95,2
3165,66,250,4,17,"no","no","yes",95,2
2525,50,250,4,15,"no","no","yes",95,2
2325,66,250,8,14,"no","no","yes",95,2
2499,33,170,4,14,"no","no","yes",95,2
2799,33,230,4,14,"no","no","yes",95,2
1795,33,170,4,14,"no","no","yes",95,2
2199,33,210,4,14,"no","no","yes",95,2
2355,50,250,8,14,"no","no","yes",95,2
3220,66,340,8,15,"yes","no","yes",95,2
2420,33,170,8,15,"yes","no","yes",95,2
2544,33,245,8,14,"no","no","yes",95,2
2945,50,250,4,17,"no","no","yes",95,2
2295,33,245,8,14,"no","no","yes",95,2
1495,33,85,2,14,"no","no","yes",95,2
2065,50,170,4,14,"no","no","yes",95,2
2295,66,130,4,14,"no","no","yes",95,2
1799,25,170,4,14,"no","no","yes",95,2
2220,33,250,4,14,"yes","no","yes",95,2
2075,50,170,4,14,"no","no","yes",95,2
1749,25,120,4,14,"no","no","yes",95,2
2195,25,245,8,14,"no","no","yes",95,2
2255,50,250,8,14,"no","no","yes",95,2
2395,33,250,4,15,"no","no","yes",95,2
2720,33,250,8,15,"yes","no","yes",95,2
2195,50,130,4,14,"no","no","yes",95,2
2225,33,250,8,14,"no","no","yes",95,2
4020,66,500,8,14,"yes","no","yes",95,2
2475,50,250,8,14,"no","no","yes",95,2
1975,50,170,4,14,"no","no","yes",95,2
3995,66,452,8,14,"no","no","yes",95,2
2595,66,245,8,14,"no","no","yes",95,2
2295,66,170,4,14,"no","no","yes",95,2
2199,33,212,4,14,"no","no","yes",95,2
1975,33,250,8,14,"no","no","yes",95,2
3895,66,500,8,15,"no","no","yes",95,2
2095,33,250,4,15,"no","no","yes",95,2
2225,33,250,8,15,"no","no","yes",95,2
3599,66,330,8,14,"no","no","yes",95,2
2075,33,250,8,14,"no","no","yes",95,2
2499,33,212,8,14,"no","no","yes",95,2
2575,66,250,8,15,"no","no","yes",95,2
2999,50,170,4,14,"no","no","yes",95,2
